Graffiti,Cercanía a puntos de interés ,Nivel de accesibilidad ,Visibilidad ,Tipo de espacio ,Frecuencia de visitas al área ,Técnica utilizada ,Formato,Complejidad visual ,Tamaño del arte ,Colores dominantes ,Tonalidad predominante ,Saturación,Contraste entre colores ,Monocromático o policromático ,Temas representados ,Enfoque,Narrativa,Uso de metáforas visuales ,Elementos simbólicos específicos ,Influencias culturales ,Iconografía religiosa o espiritual ,Simbolismo político o social ,Duración esperada ,Condiciones de conservación ,Factores de deterioro visibles ,Frecuencia de mantenimiento o restauración 
192,Escuela,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Monumental,naranjo,Cálidos,Alta,Alta,Monocromático,Naturaleza,Individual,Explícita,No,bicicleta,Ninguna identificable,No,No,Permanente,Buena,Ninguno,Ocasional
193,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Monumental,"azul, morado",Neutros,Alta,Alta,Policromático,Naturaleza,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
194,Calle,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Detallado,Grande,"negro, blanco",Neutros,Media,Alta,Policromático,"Firma de artista, Amor",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
195,Calle,Público,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Resistencia social,Individual,Explícita,Sí,A de anarquismo,Ninguna identificable,No,Sí,Temporal,Buena,Ninguno,Ninguna
196,Calle,Público,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Resistencia social,Individual,Explícita,Sí,A de anarquismo,Ninguna identificable,No,Sí,Temporal,Buena,Ninguno,Ninguna
197,Escuela,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,"negro, azul",Fríos,Alta,Alta,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,Censura,Ninguna
198,Calle,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,rosado,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Vandalismo,Ninguna
199,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Media,Alta,Monocromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
200,Calle,Público,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,azul,Cálidos,Media,Media,Monocromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
201,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,verde,Neutros,Alta,Baja,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
202,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Monumental,mixto,Cálidos,Alta,Alta,Policromático,"Resistencia social, Letras, Arte Abstracto, Sexual",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
203,Calle,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
204,Calle,Público,Baja,Calle,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,"naranjo, azul",Neutros,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
205,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"negro, amarillo, rojo",Neutros,Alta,Alta,Policromático,"Firma de artista, Letras, Arte Abstracto",Individual,Explícita,Sí,zapatilla,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
206,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Grande,blanco,Cálidos,Baja,Alta,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
207,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Grande,blanco,Cálidos,Baja,Alta,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
208,Calle,Público,Alta,Calle,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Media,Media,Monocromático,"Firma de artista, Letras",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
209,Estación de transporte,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Media,Alta,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,vegetación,Ninguna
210,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Alta,Alta,Monocromático,"Firma de artista, Letras, Amor, Fútbol",Individual,Explícita,Sí,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
211,Estación de transporte,Público,Alta,Muro público,Alta,Abstracto,0,Detallado,Grande,mixto,Neutros,Alta,Alta,Policromático,Resistencia social,Comunitario,Explícita,Sí,mujeres,Ninguna identificable,No,Sí,Temporal,Buena,Ninguno,Ninguna
212,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,mixto,Neutros,Alta,Alta,Monocromático,"Espiritualidad o religión, Firma de artista, Letras, Arte Abstracto",Individual,Explícita,Sí,conejo,Ninguna identificable,No,Sí,Temporal,Regular,Ninguno,Ninguna
213,Calle,Público,Alta,Calle,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Media,Alta,Monocromático,Resistencia social,Individual,Explícita,Sí,A de Anarquismo,Ninguna identificable,No,Sí,Temporal,Buena,Desgaste del muro,Ninguna
214,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,"cafe, negro",Cálidos,Alta,Alta,Monocromático,"Firma de artista, Amor",Individual,Explícita,Sí,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
215,Calle,Público,Alta,Muro privado,Alta,Abstracto,1,Simple,Pequeño,blanco,Cálidos,Alta,Alta,Monocromático,Letras,Comunitario,Explícita,No,vegan,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
216,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Alta,Alta,Monocromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
217,Calle,Público,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,azul,Cálidos,Media,Media,Monocromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
218,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,verde,Neutros,Alta,Baja,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
219,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Monumental,mixto,Cálidos,Alta,Alta,Policromático,"Resistencia social, Letras, Arte Abstracto, Sexual",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
220,Calle,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
221,Calle,Público,Baja,Calle,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,"naranjo, azul",Neutros,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
222,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"negro, amarillo, rojo",Neutros,Alta,Alta,Policromático,"Firma de artista, Letras, Arte Abstracto",Individual,Explícita,Sí,zapatilla,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
223,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Grande,blanco,Cálidos,Baja,Alta,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
224,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Grande,blanco,Cálidos,Baja,Alta,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
225,Calle,Público,Alta,Calle,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Media,Media,Monocromático,"Firma de artista, Letras",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
226,Calle,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,blanco,Fríos,Media,Media,Monocromático,Fútbol,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
227,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,verde,Neutros,Media,Alta,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
228,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,negro,Neutros,Alta,Alta,Monocromático,Resistencia social,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
229,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,"negro, blanco, rojo",Cálidos,Alta,Media,Policromático,"Firma de artista, Letras, Arte Abstracto, Amor",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Vandalismo,Ninguna
230,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Alta,Alta,Policromático,"Resistencia social, Letras",Comunitario,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
231,Calle,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"negro, morado",Cálidos,Alta,Alta,Policromático,Arte Abstracto,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
232,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"naranjo, rojo, azul",Cálidos,Media,Media,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
233,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"rojo, blanco",Cálidos,Alta,Alta,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
234,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"azul, negro, blanco",Fríos,Alta,Alta,Policromático,Arte Abstracto,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
235,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Grande,"azul, cafe, amarillo",Fríos,Alta,Alta,Policromático,"Mitología, Naturaleza",Individual,Abstracta,Sí,crustáceo ,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
236,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,mixto,Cálidos,Media,Alta,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
237,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Grande,"azul, blanco, amarillo",Fríos,Media,Media,Policromático,"Firma de artista, Letras",Individual,Abstracta,Sí,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
238,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Intrincado,Grande,"negro, rojo",Cálidos,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
239,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Monumental,"azul, negro, blanco",Fríos,Alta,Alta,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
240,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Detallado,Grande,"azul, negro",Fríos,Baja,Media,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,vegetación,Ninguna
241,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,rojo,Cálidos,Baja,Media,Monocromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
242,Calle,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Grande,"negro, rojo",Cálidos,Media,Alta,Monocromático,"Resistencia social, Firma de artista, Letras, Arte Abstracto, Sexual",Individual,Explícita,No,ninguno,Ninguna identificable,No,Sí,Temporal,Deteriorada,Desgaste del muro,Ninguna
243,Calle,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,blanco,Fríos,Media,Media,Monocromático,Fútbol,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
244,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,verde,Neutros,Media,Alta,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
245,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,negro,Neutros,Alta,Alta,Monocromático,Resistencia social,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
246,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,"negro, blanco, rojo",Cálidos,Alta,Media,Policromático,"Firma de artista, Letras, Arte Abstracto, Amor",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Vandalismo,Ninguna
247,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Alta,Alta,Policromático,"Resistencia social, Letras",Comunitario,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
248,Calle,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"negro, morado",Cálidos,Alta,Alta,Policromático,Arte Abstracto,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
249,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"naranjo, rojo, azul",Cálidos,Media,Media,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
250,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"rojo, blanco",Cálidos,Alta,Alta,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
251,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"azul, negro, blanco",Fríos,Alta,Alta,Policromático,Arte Abstracto,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
252,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Grande,"azul, cafe, amarillo",Fríos,Alta,Alta,Policromático,"Mitología, Naturaleza",Individual,Abstracta,Sí,crustáceo ,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
253,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Grande,"azul, cafe, amarillo",Fríos,Alta,Alta,Policromático,"Mitología, Naturaleza",Individual,Abstracta,Sí,crustáceo ,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
